Decade,Frequency,FreqOverhundred,percentage,EnergyIndex,MeanSeaTemp
1850-59,18,6,33.3,31.4,0
1860-69,21,2,9.52,51.4,0
1870-79,24,6,25,80.4,0
1880-89,27,5,18.5,98.2,0.092
1890-99,25,7,28,115.5,0.071
1900-09,21,6,28.5,82.1,0
1910-19,23,8,34.8,59.1,0.007
1920-29,19,6,31.6,76.5,0.074
1930-39,24,6,25,92.9,0.183
1940-49,32,10,31.3,74.3,0.363
1950-59,29,8,27.6,117,0.261
1960-69,13,5,38.5,114.4,0.286
1980-89,16,3,18.8,77.8,0.059
1990-99,22,6,27.3,107.4,0.712
2000-09,25,7,28,124.8,0.904
2010-2018,18,5,27.8,120.2,1.052
