Date,Windspeed,EnergyIndex
4-8/23/1851,100,
1-8/26/1852,100,
3-9/8/1854,100,
5-9/16/1855,110,
1-8/10/1856,130,
1-8/11/1860,110,
6-9/8/1869,100,
3-8/17/1871,100,
5-10/7/1873,100,
3-9/16/1875,100,
4-10/3/1877,100,
2-8/18/1879,100,
4-9/1/1879,110,
2-8/13/1880,110,
2-9/10/1882,110,
5-8/20/1886,130,
10-10/12/1886,105,
3-8/16/1888,110,
6-8/28/1893,100,
10-10/2/1893,115,
9-10/13/1893,105,
5-10/9/1894,105,
4-9/29/1896,110,
7-10/2/1898,115,
3-8/18/1899,105,
1-9/9/1900,120,
8-10/18/1906,105,
8-10/18/1906,105,
4-7/21/1909,100,
9-9/21/1909,100,
11-10/11/1909,100,
2-8/17/1915,115,
6-9/29/1915,110,
2-7/5/1916,105,
6-8/18/1916,115,
4-9/29/1917,100,
1-8/6/1918,105,
2-9/10/1919,130,
2-9/14/1919,100,
6-10/25/1921,100,
3-8/25/1926,100,
7-9/18/1926,125,
7-9/20/1926,100,
4-9/17/1928,125,
2-9/28/1929,100,
2-8/14/1932,130,
8-9/5/1933,110,
11-9/4/1933,110,
3-9/3/1935,160,
6-9/21/1938,105,
6-9/21/1938,100,
2-9/23/1941,110,
3-8/30/1942,100,
13-10/18/1944,105,
5-8/27/1945,100,
9-9/15/1945,115,
9-9/15/1945,115,
4-9/16/1947,115,
8-9/21/1948,105,
8-9/22/1948,115,
2-8/26/1949,115,
5-9/5/1950,105,
11-10/18/1950,115,
6-8/31/1954,100,
6-8/31/1954,100,
14-10/15/1954,115,
2-6/27/1957,110,
8-9/27/1958,110,
8-9/29/1959,115,
5-9/10/1960,125,
5-9/10/1960,105,
3-9/11/1961,125,
3-09/08/1965,100,
3-09/10/1965,115,
3-8/18/1983,100,
5-9/2/1985,100,
11-9/22/1989,120,
4-8/24/1992,145,
4-8/26/1992,100,
5-8/31/1993,100,
17-10/4/1995,100,
6-9/6/1996,100,
3-8/23/1999,100,
3-8/13/2004,130,
3-8/13/2004,125,
9-9/16/2004,105,
11-9/26/2004,105,
4-7/10/2005,105,
18-9/24/2005,100,
25-10/24/2005,105,
9-08/26/2017,115,
9-08/26/2017,105,
11-09/10/2017,115,
11-09/10/2017,100,
14-10/10/2018,140,
